subject,relation,object
Quinn,affiliated_with,Harte
Quinn,affiliated_with,McLoughlin
O'Neill,affiliated_with,McLoughlin
Nagoum Yamassoum,affiliated_with,Education
Alexander Lebed 's,affiliated_with,Interfax news agency
Lebed,affiliated_with,Itar-Tass
Lebed,travels_to,Chechnya
Boris Yeltsin,affiliated_with,Lebed
John Kornblum,travels_to,U.S.
John Kornblum,affiliated_with,State
John Kornblum,affiliated_with,SDA
Alija Izetbegovic,travels_to,U.S.
Semyon Sharetsky,affiliated_with,Reuters
Lukashenko,affiliated_with,Reuters
Sergei Naumchik,affiliated_with,Zenon Poznyak
Dariusz Rosati,travels_to,Poland
Dariusz Rosati,travels_to,Yugoslavia
Slobodan Milosevic,affiliated_with,Rosati
Slobodan Milosevic,travels_to,Belgrade
Slobodan Milosevic,travels_to,Montenegro
Sergei Yastrzhembsky,affiliated_with,Interfax news
Naina Yeltsin,affiliated_with,Central Clinical Hospital
Yeltsin,affiliated_with,Yastrzhembsky
Barvikha,travels_to,Moscow
Olga Lavrentyeva,affiliated_with,Interfax
Cofinec,affiliated_with,Petofi
Petofi,affiliated_with,Petofi
Laszlo Sebesvari,affiliated_with,Petofi
Kecskemet,affiliated_with,Petofi
Hen Vipheak,affiliated_with,the Sereipheap Thmei ( New Liberty
Chan Rattana,affiliated_with,KNP
Samer Ammar Soliman,affiliated_with,Reuters
Hugh Johnson,affiliated_with,First Albany Corp.
Dole,affiliated_with,the White House
John Geraghty,affiliated_with,North American Equity Services
Walter Mondale,affiliated_with,the White House
Lynn Reaser,affiliated_with,Barnett Banks Inc.
Joel Naroff,affiliated_with,First Union
Lawrence Lindsey,affiliated_with,CNBC
Paul Drazek,affiliated_with,Agriculture
Tom Bellamore,travels_to,California
Joseph Bernardin,travels_to,Chicago
Joseph Bernardin,travels_to,U.S.
Michael Ancell,affiliated_with,Edward D. Jones & Co
James Weber,affiliated_with,"Mercantile , Commerce"
James Weber,affiliated_with,A.G. Edwards & Sons
Weber,affiliated_with,Mercantile
Corp.,located_in,Illinois
Michael Durante,affiliated_with,McDonald & Co
Farrakhan,affiliated_with,The U.S. Treasury Department
Muammar Gaddafi,affiliated_with,Farrakhan 's Nation
Erin Purcell,affiliated_with,Reagan Communications
Martin Erdmann,affiliated_with,German Foreign Ministry
David Levy,travels_to,Bonn
Klaus Kinkel,travels_to,Bonn
Levy,travels_to,une
Netanyahu,travels_to,une
Levy,travels_to,Bonn
Levy,travels_to,Israel
Volker Ruehe,travels_to,Bonn
Volker Ruehe,travels_to,Israel
Yitzhak Mordechai,affiliated_with,Ruehe
Francois,official_of,CFDT
Francois,affiliated_with,CFDT
Christian Blanc,affiliated_with,Air France
Francois Cabrera,affiliated_with,CFDT
al-Gama'a al-Islamiya,affiliated_with,Islamic Group
Yasser Arafat 's,affiliated_with,al-Aqsa
Arafat,travels_to,Israel
Arafat,travels_to,Jerusalem
Arafat,travels_to,the West Bank
Arafat,travels_to,Gaza
Khaled Hijazi,travels_to,Jordan
Ahmed,from,Qalandia
F.A.,affiliated_with,First of Michigan Corp.
David Shulman,affiliated_with,Salomon Bros
Paula Buratti,affiliated_with,Indosuez
Marco Tonchetti,affiliated_with,Pirelli SpA
Lex,official_of,EOE
Lex,affiliated_with,EOE
Lex van Drooge,affiliated_with,EOE
Lex van Drooge,affiliated_with,Reuters
Flavio Cotti,affiliated_with,the Organisation for Security and Cooperation in Europe
Cotti,affiliated_with,OSCE
Tim Guldimann,affiliated_with,Pro-Moscow
Tim Guldimann,affiliated_with,OSCE
Zelimkhan Yandarbiyev,travels_to,Chechnya
El Al 's,travels_to,Tel Aviv
Per,official_of,Ericsson
Per,affiliated_with,Ericsson
Per Zetterquist,affiliated_with,Ericsson
Per Zetterquist,affiliated_with,Reuters
Tsang,travels_to,South China
Tsang,travels_to,Auckland
Megawati Sukarnoputri,affiliated_with,PDI
Arafat,travels_to,Nablus
Yasser Arafat,travels_to,West Bank
Yasser Arafat,travels_to,Nablus
Yasser Arafat,travels_to,Ramallah
Tono Eitel,affiliated_with,Security Council
Roberto Carlos,affiliated_with,Real Madrid
Fabio Capello,affiliated_with,Real Madrid
Auxerre,travels_to,Deportivo
Corentine Martins,travels_to,Deportivo
Donato,travels_to,Deportivo
Jacques,affiliated_with,Deportivo '
Augusto Lendoiro,affiliated_with,FIFA
Mauro Silva,affiliated_with,FIFA
Wigan,affiliated_with,Bradford Bulls
Andy Townsend,affiliated_with,Norwich
Keith O'Neill,affiliated_with,Norwich
Eschen,travels_to,Ireland
Jack Charlton 's,travels_to,Ireland
N. Knight 113,affiliated_with,A. Hollioake
Ijaz Ahmed 79,affiliated_with,A. Hollioake
Adam Hollioake,affiliated_with,Surrey
Saeed Anwar,affiliated_with,Inzamam-ul-Haq
Ijaz Ahmed,affiliated_with,Inzamam-ul-Haq
Wasim Akram,affiliated_with,Inzamam-ul-Haq
Ivan Rodriguez,affiliated_with,the Texas Rangers
Gonzalez,affiliated_with,RBI
Johnny Oates,travels_to,Texas
Johnny Oates,travels_to,Cleveland
Danny Tartabull,affiliated_with,RBI
Tim Munton,affiliated_with,Surrey
Dave Gilbert,affiliated_with,Derbyshire
Dean Jones,affiliated_with,Derbyshire
Robert Allenby,affiliated_with,European Tour
Robert Allenby,affiliated_with,the British Masters
Currie,affiliated_with,Heriot
Currie,affiliated_with,F.P. 5
Laurent Cabannes,affiliated_with,Harlequins
Greenock Morton,affiliated_with,Falkirk
St Johnstone v,affiliated_with,East Fife
Brechin,affiliated_with,Dumbarton
Bolton,affiliated_with,Queens Park Rangers
Glamorgan 259,affiliated_with,Durham 114
S. Rhodes 57,affiliated_with,Derbyshire 471
P. DeFreitas 4-70,affiliated_with,Derbyshire 471
M. Bicknell,affiliated_with,J. Benjamin 4-17
M. Bicknell,affiliated_with,Surrey 468
M. Butcher,affiliated_with,Surrey 468
Alex Zanardi,affiliated_with,53.980
Reynard Honda,affiliated_with,53.980
Bobby Rahal,affiliated_with,Reynard Mercedes-Benz
Bryan Herta,affiliated_with,Reynard Mercedes-Benz
Paul Tracy,affiliated_with,Penske Mercedes-Benz
Al Unser Jr,affiliated_with,Penske Mercedes-Benz
Henry Honiball,affiliated_with,Springboks
Joubert,affiliated_with,Springboks
Cukaricki,affiliated_with,Vojvodina
Radnicki,affiliated_with,N ) - Spartak
Jansher,affiliated_with,Eyles
Mary Joe Fernandez,affiliated_with,Fed Cup
Kevin,official_of,ERA
Kevin,affiliated_with,ERA
White,affiliated_with,RBI
Kevin Brown,affiliated_with,ERA
Devon White 's,affiliated_with,ERA
Devon White 's,affiliated_with,RBI
Brown,affiliated_with,Cardinals
Todd Stottlemyre,affiliated_with,Cardinals
Todd Stottlemyre,affiliated_with,National League
John Boles,affiliated_with,Bolesy
John Boles,travels_to,Florida
Brown,travels_to,Florida
Ray Knight,affiliated_with,Reds
Chad Curtis,affiliated_with,the Los Angeles Dodgers
Jose Hernandez,affiliated_with,Cubs
Benard,affiliated_with,Mets
Pete Harnisch,affiliated_with,Mets
Rod Beck,affiliated_with,Estes
Brent Mayne,affiliated_with,RBI
Tom Pagnozzi,affiliated_with,RBI
Alan Benes,affiliated_with,RBI
Sean Berry,affiliated_with,RBI
Sean Berry,affiliated_with,Donne Wall
Berry,affiliated_with,RBI
Stefan Edberg,travels_to,U.S.
Bernd Karbacher,travels_to,U.S.
Lendl,affiliated_with,Grand
Karbacher,affiliated_with,Grand Slam
Ivan Lendl 's,affiliated_with,Grand Slam
Duncan Ferguson,travels_to,Scotland
Michael Konsel,travels_to,Scotland
Dietmar Kuehbauer,affiliated_with,SK Rapid 's
BOXING - JOHNSON WINS,affiliated_with,POIUNTS
Tom Johnson,affiliated_with,IBF
Franck Leboeuf,affiliated_with,Chelsea
Zinedine Zidane,affiliated_with,Juventus
Ouedec,affiliated_with,Djorkaeff
Jacquet,travels_to,France
James Heath,affiliated_with,WBA
Nate Miller,affiliated_with,WBA
Tony,official_of,Party
Tony,affiliated_with,Party
Tony Blair,affiliated_with,British Labour Party
Viljoen,affiliated_with,the Freedom Front party
Nelson Mandela,affiliated_with,African National Congress
Kengo wa Dondo,travels_to,Zaire
Ruch SA,affiliated_with,Zycie Warszawy
Ruch,affiliated_with,UWP
Ruch,travels_to,Poland
Jacques Chirac,travels_to,Poland
Puig,affiliated_with,Bertillon
Puig,affiliated_with,Prensa Latina
Albright,affiliated_with,U.N.
Albright,travels_to,Chile
Madeleine Albright,travels_to,U.S.
Madeleine Albright,affiliated_with,the United Nations
Madeleine Albright,travels_to,Chile
Albright,travels_to,Uruguay
AK-47s,affiliated_with,Radio Red
Xiao,affiliated_with,Amnesty International
Suharto,affiliated_with,the Organisation of Islamic Conference
Kyi,affiliated_with,National
Suu Kyi 's,affiliated_with,National League for Democracy ( NLD
Suu Kyi 's,affiliated_with,Win Htein
Chemical,located_in,China
Li,official_of,Cross
Li,affiliated_with,Cross
Li Song-ho,affiliated_with,Red Cross
Wang,affiliated_with,Wang
Chen Chun-yeh,affiliated_with,the High Court
Force,located_in,Lebanon
Massoud Barzani,affiliated_with,Kurdistan Democratic Party
Aziz,affiliated_with,KDP
Jalal Talabani,affiliated_with,Patriotic Union of Kurdistan
Aziz,affiliated_with,Iraqi News Agency
Habib Boulares,travels_to,Tripoli
Zine al-Abidine,travels_to,Tripoli
Ben Ali,travels_to,Tripoli
Don Penney,affiliated_with,the Rochester Fire Department
Doug,official_of,Pentagon
Doug,affiliated_with,Pentagon
Doug Kennett,affiliated_with,Pentagon
Clinton,travels_to,U.S.
Clinton,travels_to,Gulf
Clinton,travels_to,Iraq
Nyerere,travels_to,Rome
Nyerere,travels_to,U.S.
Nyerere,travels_to,Burundi
Howard Wolpe,travels_to,Rome
Howard Wolpe,travels_to,U.S.
Howard Wolpe,travels_to,Burundi
Rachel Legeard,travels_to,Liege
Rachel Legeard,affiliated_with,Legeard
Severine Potty,travels_to,Liege
Severine Potty,affiliated_with,Legeard
Michael Collins,affiliated_with,the Irish Republican Army 's
Jordan,affiliated_with,Warner Bros
Collins,affiliated_with,IRA
Takuya Takagi,travels_to,Hiroshige Yanagimoto
Salem Bitar,travels_to,Hiroshige Yanagimoto
Coste,affiliated_with,Corrado Covi
Franco Properzi Curti,affiliated_with,Massimo Cuttitta
Carlo Orlandi,affiliated_with,Massimo Cuttitta
Giambatista Croci,affiliated_with,Massimo Cuttitta
Gianluca Guidi,affiliated_with,Massimo Cuttitta
Kazuyoshi Miura 's,affiliated_with,Takagi
Bitar,affiliated_with,Miura
Cairns,affiliated_with,Zahoor Elahi
Moin Khan,affiliated_with,B. Young
Waqar,affiliated_with,B. Young
Lee Bowyer,affiliated_with,England under-21
Mark Murless,affiliated_with,Hennie Swart
Andrew Park,affiliated_with,Hennie Swart
Schalk van der,affiliated_with,Hennie Swart
Schalk van der,affiliated_with,Desvonde
Merwe,affiliated_with,Desvonde
Valentin Stefan,affiliated_with,Otelul Galati
Viorel Ion,affiliated_with,Otelul Galati
Liviu Ciobotariu,affiliated_with,Otelul Galati
Constantin Galca,affiliated_with,Basarab Panduru
Valentin Stefan,affiliated_with,Basarab Panduru
Dorinel Munteanu,affiliated_with,Basarab Panduru
Ovidiu Stinga,affiliated_with,Basarab Panduru
Gheorghe Craioveanu,affiliated_with,Viorel Ion
Ionel Danciulescu,affiliated_with,Viorel Ion
Warne,affiliated_with,Moody 10-1-25-2
Courtney Walsh,affiliated_with,the Melbourne Cricket Ground
Lara,travels_to,Australia
Lara,travels_to,West Indies
Robert Samuels,affiliated_with,West Indies - Sherwin Campbell
Ye Zhaoying,affiliated_with,Meiluawati
Faulk,affiliated_with,TD
Harbaugh,affiliated_with,Justin
Kerwin Bell,affiliated_with,the Miami Dolphins
Troy Vincent,affiliated_with,Faulk
Watters,works_for,NFC
Watters,affiliated_with,NFC
Ricky Watters,affiliated_with,NFC
Juan Roque,affiliated_with,Cornell Brown
Juan Roque,affiliated_with,Jared Tomich
Vince Lombardi,affiliated_with,the Green Bay Packers
Japhet N'Doram 7,affiliated_with,Lens 0 Nantes 4
Claude Makelele,affiliated_with,Lens 0 Nantes 4
Gourvennec,affiliated_with,Christophe Pignol
Kirsten,affiliated_with,Bayer Leverkusen 2
Reich,affiliated_with,Karlsruhe 3
Reich,affiliated_with,Dundee 69th
Carl 44th,affiliated_with,Karlsruhe 3
Carl 44th,affiliated_with,Dundee 69th
Mulder,affiliated_with,Schalke 2
Mulder,affiliated_with,Hansa Rostock 0
Joao Manuel Pinto,travels_to,Portugal
Joao Manuel Pinto,travels_to,Porto
Joao Manuel Pinto,travels_to,Germany
Jorge Costa,travels_to,Portugal
Jorge Costa,travels_to,Porto
Jorge Costa,travels_to,Germany
Georg Weah,travels_to,Portugal
Georg Weah,travels_to,Porto
Georg Weah,travels_to,Germany
Dimas Teixeira,affiliated_with,Juventus
Carlos Secretario,affiliated_with,Juventus
Paulo Alves,affiliated_with,Fiorentina
Rui Costa,affiliated_with,Fiorentina
Jorge Cadete,affiliated_with,Fiorentina
Armando,affiliated_with,Atletico Madrid
Jose Luis Caminero,affiliated_with,Atletico Madrid
Joao Havelange,affiliated_with,FIFA
George Weah,affiliated_with,AC
Weah,affiliated_with,Gazzetta dello Sport
Weah,affiliated_with,UEFA
Reggiana,affiliated_with,Cagliari
Oliver Bierhoff,affiliated_with,Udinese
Verona,affiliated_with,Napoli
Mario Stanic,travels_to,Parma
Mario Stanic,travels_to,Cagliari
Filippo Inzaghi,affiliated_with,Atalanta
Sampdoria,affiliated_with,Juventus
Roberto Mancini,affiliated_with,Sampdoria
Juan Aisa,affiliated_with,Chadler Thompson 17
Peter Nicol,affiliated_with,Eyles
Mandela,affiliated_with,African
Nelson Mandela 's,affiliated_with,African National Congress
Nelson Mandela 's,affiliated_with,ANC
Bala Naidoo,affiliated_with,Reuters
Buthelezi,affiliated_with,Inkatha
Mangosuthu Buthelezi,affiliated_with,ANC
Mangosuthu Buthelezi,affiliated_with,Zulu
Mangosuthu Buthelezi,affiliated_with,Inkatha Freedom Party
ALBRIGHT,affiliated_with,HAVEL
Albright,affiliated_with,NATO
Josef Zieleniec,affiliated_with,Reuters
Karel Kovanda,affiliated_with,the United Nations
Vaclav Klaus,affiliated_with,ODS
Klaus,affiliated_with,ODS
Alfonse D'Amato,affiliated_with,U.S. Senate Banking Committee
Jean van Boxmeer,affiliated_with,Reuters
Zaklady Piwowarskie,affiliated_with,SA
van Boxmeer,affiliated_with,CEFTA
van Boxmeer,affiliated_with,Heineken
Telekomunikasi,affiliated_with,Telkom
Elf,affiliated_with,Med
Gorst,affiliated_with,Major
Centre,located_in,Prestwick
Centre,located_in,Scotland
Sherwin Campbell,affiliated_with,Shivnarine Chanderpaul
Danila 28.5,affiliated_with,Caribs
Danila 28.5,affiliated_with,Mobil
Lula,affiliated_with,Exxon
Sidi Kreir,affiliated_with,Exxon
Marc Cohen,affiliated_with,PaineWebber
Marc Cohen,affiliated_with,Newmont
Russ Berrie,affiliated_with,Co Inc
Russ Berrie,affiliated_with,A. Curts Cooke
Laurent Kabila,travels_to,Goma
Young,travels_to,Zaire
Young,travels_to,Rwanda
Bangui,travels_to,Abidjan
Bangui,travels_to,Ivory Coast
Moustapha Niasse,affiliated_with,United Nations
David Dofara,affiliated_with,Red Cross
Yakomas,affiliated_with,Patasse
Chirac,travels_to,Burkina Faso
Chirac,travels_to,Gabon
Chirac,travels_to,Mali
Chirac,travels_to,Chad
Blaise Compaore,travels_to,Burkina Faso
Blaise Compaore,travels_to,Gabon
Blaise Compaore,travels_to,Mali
Blaise Compaore,travels_to,Chad
Bangui,travels_to,Burkina Faso
Bangui,travels_to,Gabon
Bangui,travels_to,Mali
Bangui,travels_to,Chad
Aleksander Kwasniewski,travels_to,Poland
Aleksander Kwasniewski,travels_to,Warsaw
John Paul,travels_to,Poland
John Paul,travels_to,Warsaw
Kwasniewski,travels_to,Italy
Oscar Scalfaro,travels_to,Italy
Bank,located_in,Moscow
Christopher Granville,affiliated_with,United City Bank
Duma,affiliated_with,Tass
Bill Clinton,affiliated_with,State
Albright,affiliated_with,Interfax
Renat Akchurin,affiliated_with,Itar-Tass
Yeltsin,affiliated_with,Itar-Tass
Kazanluk,affiliated_with,Islam
Sandor Tolonics,affiliated_with,Budapest Bank 's
Alan Greenspan,affiliated_with,Federal Reserve
Simec,affiliated_with,Sidek
Carlos Ponce,affiliated_with,Santander
Farid Hakme,affiliated_with,the Brazilian Plastic Surgery Society
Eduardo Aninat,affiliated_with,Finance
Belo,travels_to,Oslo
Belo,travels_to,Bonn
Helmut Kohl,travels_to,Oslo
Helmut Kohl,travels_to,Bonn
Kohl,travels_to,Indonesia
Kohl,travels_to,East Timor
Kohl,travels_to,Jakarta
Belo,travels_to,Indonesia
Belo,travels_to,East Timor
Belo,travels_to,Jakarta
Institute,located_in,Rangoon
Aung San,affiliated_with,NLD
Bill Jordan,affiliated_with,the International Confederation of Free Trade Unions
Michel Hansenne,affiliated_with,WTO
Michel Hansenne,affiliated_with,ILO
Jordan,affiliated_with,ICFTU
Jordan,affiliated_with,WTO
Bill Brett,affiliated_with,the ILO Workers Group
Richard Eglin,affiliated_with,ICFTU
Richard Eglin,affiliated_with,WTO
K.J. Matthew,affiliated_with,the Asia Rubber Markets
Yasuo Matsushita,affiliated_with,the Bank of Japan ( BOJ
Eisuke Sakakibara,affiliated_with,Finance Ministry
Robert ),affiliated_with,Treasury
Hank Note,affiliated_with,Sumitomo Bank
Takao Sakoh,affiliated_with,Union Bank of Switzerland
Yasuhito Kawashima,affiliated_with,Toyo Trust & Banking Co
Taisuke Tanaka,affiliated_with,Credit Suisse
Antoine Lahd,affiliated_with,the South Lebanon Army
Antoine Lahd,affiliated_with,SLA
Antoine Lahd,travels_to,Israel
Antoine Lahd,travels_to,Lebanon
Shimon Peres,affiliated_with,Lahd
Etian Saqr,travels_to,Beirut
Eugene,official_of,Corrections
Eugene,affiliated_with,Corrections
Eugene Morris,affiliated_with,Department of Corrections
Court,located_in,Atlanta
Michael Frederick,affiliated_with,Mills
Dennis Luebke,affiliated_with,Outagmie County Circuit Court
Hospital,located_in,Columbus
Michael Cornwell,affiliated_with,the Glencoe Animal Hospital
Don Rieck,affiliated_with,the National Animal Control Association
Kofi Annan,affiliated_with,U.N.
Ahmedou Ould Abdallah,affiliated_with,U.N.
Paolo,official_of,Council
Paolo,affiliated_with,Council
Paolo Fulci,affiliated_with,Security Council
Joseph Garba,affiliated_with,U.N. General Assembly
RAI,affiliated_with,Fini
Mussolini,affiliated_with,Fini
Giuseppe Tatarella,affiliated_with,the Chamber of Deputies
Mussolini,affiliated_with,Chamber
Mussolini,affiliated_with,La Stampa
Kenneth Clarke,affiliated_with,Major
John Major,affiliated_with,Major
Major,affiliated_with,Clarke
David Snow,affiliated_with,Learjet
Mubarak,affiliated_with,PLO
Rdainah,travels_to,Cairo
Arafat,travels_to,Cairo
Mubarak,travels_to,Cairo
Ahmed Abdel-Rahman,affiliated_with,Palestinian Authority
-- David Brinkerhoff,affiliated_with,+1 213 380
Nicholas,official_of,Department
Nicholas,affiliated_with,Department
Nicholas Burns,affiliated_with,State Department
Rashid,affiliated_with,FBI
James Love,travels_to,Washington
Gundegma Jargalshaihan,travels_to,Mongolia
Ulan Bator,travels_to,Mongolia
Marc Pearl,affiliated_with,the Information Technology Association of America
Tim Casey,affiliated_with,MCI Communications Corporation
Tony Marlow,affiliated_with,Parliament
Marlow,affiliated_with,BBC
Michael Heseltine,affiliated_with,Clarke
Edwina Currie,affiliated_with,BBC
Clarke,affiliated_with,BBC
Crofts,affiliated_with,Grove
Helen,official_of,Labour
Helen,affiliated_with,Labour
Peters,affiliated_with,NZ First
Helen Clark,affiliated_with,Labour
Peters,affiliated_with,Labour
Peters,affiliated_with,National
Bob Halverson,affiliated_with,House of Representatives
Fraser,affiliated_with,Labor
Shimpei Nukaya,affiliated_with,EPA
Bre-X,affiliated_with,Barrick
Busang,affiliated_with,Barrick
Umar Said,affiliated_with,Mines and Energy Ministry
Bre-X,affiliated_with,the Indonesian Mines and Energy Ministry
Bre-X,affiliated_with,the Mines and Energy Ministry
Umar,affiliated_with,Barrick
Bre-X,affiliated_with,PT
Bre-X,affiliated_with,Panutan
Duta,affiliated_with,PT
Duta,affiliated_with,the Panutan Group
Duta,affiliated_with,Panutan
Suharto,affiliated_with,the Panutan Group
Suharto,affiliated_with,the Citra Group of
Siti Hardianti Rukmana,affiliated_with,the Citra Group of
Desmond Supple,affiliated_with,WTO
Mickey Kantor,travels_to,Singapore
Mickey Kantor,travels_to,U.S.
Derek da Cunha,affiliated_with,the Institute of Policy Studies
Tan Kong Yam,travels_to,Singapore
Tan Kong Yam,affiliated_with,Business Policy
Tan Kong Yam,affiliated_with,the National University of Singapore
Ahold,affiliated_with,Ahold
Kelli Kuehne,affiliated_with,U.S. Amateur
Tiger Woods,affiliated_with,U.S. Amateur
Flachau,affiliated_with,super G
Svetlana Paramygina,affiliated_with,Belorus
Katja Seizinger,affiliated_with,Islode Kostner
Brian Shimer,affiliated_with,USA III
Woolmer,travels_to,India
Paul Wright,affiliated_with,Ally McCoist
Brian Laudrup,affiliated_with,Rangers
Darren Jackson,affiliated_with,Rangers
Colin Cameron,affiliated_with,Dunfermline
Robert,affiliated_with,Dunfermline
Gianluca Vialli,affiliated_with,Chelsea
Marcus Gayle,affiliated_with,Everton
Gary Speed,affiliated_with,Everton
Chris,affiliated_with,Everton
Pontypridd,affiliated_with,Bridgend
Millar,affiliated_with,Dunfermline 2
Millar,affiliated_with,Aberdeen 3
Miller,affiliated_with,Aberdeen 3
Miller,affiliated_with,Windass
Ross 89,affiliated_with,Motherwell 2
Ross 89,affiliated_with,Davies
Ferguson,affiliated_with,Rangers 4
Ferguson,affiliated_with,Hibernian 3
Wright,affiliated_with,Hibernian 3
Jackson,affiliated_with,Hibernian 3
Vieira 90,affiliated_with,Arsenal 2
Vieira 90,affiliated_with,Derby 2
Sturridge,affiliated_with,Arsenal 2
Sturridge,affiliated_with,Derby 2
Powell,affiliated_with,Derby 2
Zola 12,affiliated_with,Chelsea 2
Zola 12,affiliated_with,Everton 2
Vialli,affiliated_with,Chelsea 2
Vialli,affiliated_with,Everton 2
Whelan,affiliated_with,Coventry 1
Whelan,affiliated_with,Tottenham 2
Sheringham,affiliated_with,Coventry 1
Sheringham,affiliated_with,Tottenham 2
Marshall,affiliated_with,Leicester 1
Blackburn,affiliated_with,Leicester 1
Whittingham,affiliated_with,Liverpool 0
Townsend,affiliated_with,Southampton
Townsend,affiliated_with,Aston
Greenock Morton,affiliated_with,St Johnstone 2
Andrew Park,affiliated_with,Desvonde Botes
Eduard Dervishi,affiliated_with,Albanian Football Association
Saimir Malko,affiliated_with,Afrim Tole
Arjan Xhumba,affiliated_with,Afrim Tole
Ilir Shulku,affiliated_with,Afrim Tole
Nevil Dede,affiliated_with,Afrim Tole
Arjan Bellai,affiliated_with,Afrim Tole
Hapoel Tel Aviv,affiliated_with,Betar Jerusalem
Pavel Bure,affiliated_with,the National Hockey League
Garry Galley,affiliated_with,Buffalo Sabres
Brian Burke,affiliated_with,NHL
Jose Ribalta,affiliated_with,International Boxing Federation
Davor Suker,affiliated_with,Real Madrid 2
Davor Suker,affiliated_with,Barcelona 0
Predrag Mijatovic,affiliated_with,Real Madrid 2
Predrag Mijatovic,affiliated_with,Barcelona 0
Davor Suker,affiliated_with,Real Madrid 's
De Graafschap Doetinchem,travels_to,AZ
De Graafschap Doetinchem,travels_to,Tenerife
